"LOCATION","Country","TYPE_VAR","Type of indicator","VARIABLE","Indicator","WB","Current/Future Well-being","SEX","Sex","AGE","Age","EDUCATION","Education","TIME","Time","Value","Flag Codes","Flags"
"AUS","Australia","AVERAGE","Average","3_1","Employment rate","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",75.4,,
"AUS","Australia","AVERAGE","Average","3_1","Employment rate","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2011","2011",75.8,,
"AUS","Australia","AVERAGE","Average","3_1","Employment rate","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",75.6,,
"AUS","Australia","AVERAGE","Average","3_1","Employment rate","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",75.3,,
"AUS","Australia","AVERAGE","Average","3_1","Employment rate","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",75,,
"AUS","Australia","AVERAGE","Average","3_1","Employment rate","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",75.6,,
"AUS","Australia","AVERAGE","Average","3_1","Employment rate","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2016","2016",75.9,,
"AUS","Australia","AVERAGE","Average","3_1","Employment rate","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2017","2017",76.6,,
"AUS","Australia","AVERAGE","Average","3_1","Employment rate","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2018","2018",77.2,,
"AUS","Australia","AVERAGE","Average","3_6","Labour market insecurity","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2007","2007",2.3,,
"AUS","Australia","AVERAGE","Average","3_6","Labour market insecurity","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2008","2008",2.5,,
"AUS","Australia","AVERAGE","Average","3_6","Labour market insecurity","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2009","2009",3.2,,
"AUS","Australia","AVERAGE","Average","3_6","Labour market insecurity","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",2.9,,
"AUS","Australia","AVERAGE","Average","3_6","Labour market insecurity","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2011","2011",2.8,,
"AUS","Australia","AVERAGE","Average","3_6","Labour market insecurity","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",3,,
"AUS","Australia","AVERAGE","Average","3_6","Labour market insecurity","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",3.3,,
"AUS","Australia","AVERAGE","Average","3_6","Labour market insecurity","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",3.5,,
"AUS","Australia","AVERAGE","Average","3_6","Labour market insecurity","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",3.4,,
"AUS","Australia","AVERAGE","Average","3_6","Labour market insecurity","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2016","2016",3.1,,
"AUS","Australia","AVERAGE","Average","3_7","Earnings","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2005","2005",48891.3,,
"AUS","Australia","AVERAGE","Average","3_7","Earnings","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2006","2006",49207.5,,
"AUS","Australia","AVERAGE","Average","3_7","Earnings","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2007","2007",50565.4,,
"AUS","Australia","AVERAGE","Average","3_7","Earnings","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2008","2008",50973.2,,
"AUS","Australia","AVERAGE","Average","3_7","Earnings","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2009","2009",50511,,
"AUS","Australia","AVERAGE","Average","3_7","Earnings","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",52253,,
"AUS","Australia","AVERAGE","Average","3_7","Earnings","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2011","2011",53905.8,,
"AUS","Australia","AVERAGE","Average","3_7","Earnings","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",54226.2,,
"AUS","Australia","AVERAGE","Average","3_7","Earnings","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",53977.4,,
"AUS","Australia","AVERAGE","Average","3_7","Earnings","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",54391.8,,
"AUS","Australia","AVERAGE","Average","3_7","Earnings","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",53946.3,,
"AUS","Australia","AVERAGE","Average","3_7","Earnings","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2016","2016",53971.6,,
"AUS","Australia","AVERAGE","Average","3_7","Earnings","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2017","2017",53507.3,,
"AUS","Australia","AVERAGE","Average","3_7","Earnings","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2018","2018",53349.4,,
"AUS","Australia","AVERAGE","Average","4_1","Life expectancy at birth","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2005","2005",80.9,,
"AUS","Australia","AVERAGE","Average","4_1","Life expectancy at birth","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2006","2006",81.1,,
"AUS","Australia","AVERAGE","Average","4_1","Life expectancy at birth","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2007","2007",81.4,,
"AUS","Australia","AVERAGE","Average","4_1","Life expectancy at birth","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2008","2008",81.5,,
"AUS","Australia","AVERAGE","Average","4_1","Life expectancy at birth","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2009","2009",81.6,,
"AUS","Australia","AVERAGE","Average","4_1","Life expectancy at birth","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",81.8,,
"AUS","Australia","AVERAGE","Average","4_1","Life expectancy at birth","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2011","2011",82,,
"AUS","Australia","AVERAGE","Average","4_1","Life expectancy at birth","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",82.1,,
"AUS","Australia","AVERAGE","Average","4_1","Life expectancy at birth","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",82.2,,
"AUS","Australia","AVERAGE","Average","4_1","Life expectancy at birth","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",82.4,,
"AUS","Australia","AVERAGE","Average","4_1","Life expectancy at birth","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",82.5,,
"AUS","Australia","AVERAGE","Average","4_1","Life expectancy at birth","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2016","2016",82.5,,
"AUS","Australia","AVERAGE","Average","4_1","Life expectancy at birth","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2017","2017",82.6,,
"AUS","Australia","AVERAGE","Average","4_3","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2007","2007",84.9,,
"AUS","Australia","AVERAGE","Average","4_3","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2011","2011",85.4,,
"AUS","Australia","AVERAGE","Average","4_3","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",85.2,,
"AUS","Australia","AVERAGE","Average","4_3","Perceived health","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2017","2017",85.2,,
"AUS","Australia","AVERAGE","Average","4_4","Deaths from suicide, alcohol, drugs","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",12.4,,
"AUS","Australia","AVERAGE","Average","4_4","Deaths from suicide, alcohol, drugs","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2016","2016",13.2,,
"AUS","Australia","AVERAGE","Average","5_1","Student skills (science)","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2018","2018",503,,
"AUS","Australia","AVERAGE","Average","5_2","Student skills (maths)","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2018","2018",491.4,,
"AUS","Australia","AVERAGE","Average","5_3","Student skills (reading)","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2018","2018",502.6,,
"AUS","Australia","AVERAGE","Average","5_4","Adult skills (numeracy)","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",267.6,,
"AUS","Australia","AVERAGE","Average","5_5","Adult skills (literacy)","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",280.4,,
"AUS","Australia","AVERAGE","Average","6_2","Air pollution","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2005","2005",34.6,,
"AUS","Australia","AVERAGE","Average","6_2","Air pollution","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",34.1,,
"AUS","Australia","AVERAGE","Average","6_2","Air pollution","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2011","2011",37.6,,
"AUS","Australia","AVERAGE","Average","6_2","Air pollution","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",31.7,,
"AUS","Australia","AVERAGE","Average","6_2","Air pollution","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",29.7,,
"AUS","Australia","AVERAGE","Average","6_2","Air pollution","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",28.3,,
"AUS","Australia","AVERAGE","Average","6_2","Air pollution","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",27.4,,
"AUS","Australia","AVERAGE","Average","6_2","Air pollution","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2016","2016",26,,
"AUS","Australia","AVERAGE","Average","6_2","Air pollution","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2017","2017",26,,
"AUS","Australia","AVERAGE","Average","7_1","Life satisfaction","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",7.6,,
"AUS","Australia","AVERAGE","Average","7_2","Negative affect balance","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",11.4,,
"AUS","Australia","AVERAGE","Average","7_2","Negative affect balance","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2011","2011",11.4,,
"AUS","Australia","AVERAGE","Average","7_2","Negative affect balance","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",11.4,,
"AUS","Australia","AVERAGE","Average","7_2","Negative affect balance","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",11.2,,
"AUS","Australia","AVERAGE","Average","7_2","Negative affect balance","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",11.2,,
"AUS","Australia","AVERAGE","Average","7_2","Negative affect balance","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",11.2,,
"AUS","Australia","AVERAGE","Average","7_2","Negative affect balance","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2016","2016",12.2,,
"AUS","Australia","AVERAGE","Average","7_2","Negative affect balance","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2017","2017",12.2,,
"AUS","Australia","AVERAGE","Average","7_2","Negative affect balance","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2018","2018",12.2,,
"AUS","Australia","AVERAGE","Average","8_1","Homicides","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2006","2006",1.2,,
"AUS","Australia","AVERAGE","Average","8_1","Homicides","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2007","2007",1,,
"AUS","Australia","AVERAGE","Average","8_1","Homicides","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2008","2008",1.2,,
"AUS","Australia","AVERAGE","Average","8_1","Homicides","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2009","2009",1.2,,
"AUS","Australia","AVERAGE","Average","8_1","Homicides","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",1.1,,
"AUS","Australia","AVERAGE","Average","8_1","Homicides","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2011","2011",1.1,,
"AUS","Australia","AVERAGE","Average","8_1","Homicides","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",1.3,,
"AUS","Australia","AVERAGE","Average","8_1","Homicides","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",1.1,,
"AUS","Australia","AVERAGE","Average","8_1","Homicides","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",1.2,,
"AUS","Australia","AVERAGE","Average","8_1","Homicides","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",1.1,,
"AUS","Australia","AVERAGE","Average","8_1","Homicides","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2016","2016",1,,
"AUS","Australia","AVERAGE","Average","8_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2006","2006",63.1,,
"AUS","Australia","AVERAGE","Average","8_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2007","2007",63.1,,
"AUS","Australia","AVERAGE","Average","8_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2008","2008",63.1,,
"AUS","Australia","AVERAGE","Average","8_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2009","2009",63.1,,
"AUS","Australia","AVERAGE","Average","8_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",64.3,,
"AUS","Australia","AVERAGE","Average","8_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2011","2011",64.3,,
"AUS","Australia","AVERAGE","Average","8_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",64.3,,
"AUS","Australia","AVERAGE","Average","8_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",63.9,,
"AUS","Australia","AVERAGE","Average","8_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",63.9,,
"AUS","Australia","AVERAGE","Average","8_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",63.9,,
"AUS","Australia","AVERAGE","Average","8_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2016","2016",64.2,,
"AUS","Australia","AVERAGE","Average","8_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2017","2017",64.2,,
"AUS","Australia","AVERAGE","Average","8_2","Feeling safe at night","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2018","2018",64.2,,
"AUS","Australia","AVERAGE","Average","8_3","Road deaths","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2005","2005",8.1,,
"AUS","Australia","AVERAGE","Average","8_3","Road deaths","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2006","2006",7.8,,
"AUS","Australia","AVERAGE","Average","8_3","Road deaths","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2007","2007",7.7,,
"AUS","Australia","AVERAGE","Average","8_3","Road deaths","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2008","2008",6.8,,
"AUS","Australia","AVERAGE","Average","8_3","Road deaths","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2009","2009",6.9,,
"AUS","Australia","AVERAGE","Average","8_3","Road deaths","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",6.1,,
"AUS","Australia","AVERAGE","Average","8_3","Road deaths","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2011","2011",5.7,,
"AUS","Australia","AVERAGE","Average","8_3","Road deaths","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",5.7,,
"AUS","Australia","AVERAGE","Average","8_3","Road deaths","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",5.1,,
"AUS","Australia","AVERAGE","Average","8_3","Road deaths","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",4.9,,
"AUS","Australia","AVERAGE","Average","8_3","Road deaths","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",5.1,,
"AUS","Australia","AVERAGE","Average","8_3","Road deaths","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2016","2016",5.3,,
"AUS","Australia","AVERAGE","Average","8_3","Road deaths","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2017","2017",5,,
"AUS","Australia","AVERAGE","Average","8_3","Road deaths","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2018","2018",4.6,,
"AUS","Australia","AVERAGE","Average","9_1","Time off","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2006","2006",14.4,,
"AUS","Australia","AVERAGE","Average","10_1","Time spent in social interactions","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2006","2006",4.7,,
"AUS","Australia","AVERAGE","Average","10_2","Social support","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2006","2006",95.5,,
"AUS","Australia","AVERAGE","Average","10_2","Social support","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2007","2007",95.5,,
"AUS","Australia","AVERAGE","Average","10_2","Social support","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2008","2008",95.5,,
"AUS","Australia","AVERAGE","Average","10_2","Social support","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2009","2009",95.5,,
"AUS","Australia","AVERAGE","Average","10_2","Social support","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",95.3,,
"AUS","Australia","AVERAGE","Average","10_2","Social support","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2011","2011",95.3,,
"AUS","Australia","AVERAGE","Average","10_2","Social support","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",95.3,,
"AUS","Australia","AVERAGE","Average","10_2","Social support","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",93.3,,
"AUS","Australia","AVERAGE","Average","10_2","Social support","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",93.3,,
"AUS","Australia","AVERAGE","Average","10_2","Social support","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",93.3,,
"AUS","Australia","AVERAGE","Average","10_2","Social support","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2016","2016",94,,
"AUS","Australia","AVERAGE","Average","10_2","Social support","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2017","2017",94,,
"AUS","Australia","AVERAGE","Average","10_2","Social support","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2018","2018",94,,
"AUS","Australia","AVERAGE","Average","11_1","Voter turnout ","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",93.2,,
"AUS","Australia","AVERAGE","Average","11_1","Voter turnout ","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",93.2,,
"AUS","Australia","AVERAGE","Average","11_1","Voter turnout ","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2016","2016",91,,
"AUS","Australia","AVERAGE","Average","11_2","Having a say in government","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2011","2011",32.3,,
"AUS","Australia","DEP","Deprivation","1_4","Relative income poverty ","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",14,,
"AUS","Australia","DEP","Deprivation","1_4","Relative income poverty ","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",12.8,,
"AUS","Australia","DEP","Deprivation","1_4","Relative income poverty ","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2016","2016",12.1,,
"AUS","Australia","DEP","Deprivation","1_6","Financial insecurity","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2016","2016",38.4,,
"AUS","Australia","DEP","Deprivation","2_3","Housing cost overburden","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",17.9,,
"AUS","Australia","DEP","Deprivation","2_3","Housing cost overburden","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",19.3,,
"AUS","Australia","DEP","Deprivation","2_3","Housing cost overburden","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",19.1,,
